WalkingTime,PathLength
78.1212158,3.05281734
77.3212,3.053424
78.1212158,3.047372
80.26126,3.03193116
77.1611938,3.0520153
78.46123,3.03062749
78.22122,3.04184127
77.06119,3.044686
77.74121,3.03516531
76.9811859,3.05532026
77.96121,3.04140663
77.92121,3.048211
77.4012,3.04588246
79.52125,3.00516725
76.72118,3.04140615
82.54132,2.97519279
78.521225,3.02101612
78.70123,3.03811431
81.7413,3.00310636
76.58118,3.05812216
